outcome,year,estimate,se,ci_lo,ci_hi,t_val,p_val
ln_emp,1994,2.777513201595606,2.4040276260560938,-1.934380945474338,7.48940734866555,1.1553582710495847,0.2704309526555056
ln_emp,1995,2.560173701536788,2.372563943542974,-2.090051627807441,7.2103990308810175,1.0790746898537347,0.3017667402476127
ln_emp,1996,2.4651097743071637,2.382156724921336,-2.2039174065386544,7.134136955152982,1.034822666585284,0.3211563474196374
ln_emp,1997,2.4586938258971256,2.3801343371829464,-2.2063694749814498,7.1237571267757005,1.0330063255199116,0.3219714407327574
ln_emp,1998,0,0,0,0,NA,NA
ln_emp,1999,2.4352069141757267,2.371819226002316,-2.2135587687888125,7.083972597140265,1.0267253454557117,0.3248018084968477
ln_emp,2000,2.2695371114375833,2.395289838086566,-2.425230971212086,6.9643051940872525,0.9474999957627517,0.3620747617675243
ln_emp,2001,2.3341985918967985,2.369789328857651,-2.310588492664197,6.978985676457794,0.9849814764006855,0.3440769910368414
ln_emp,2002,2.291459406408318,2.3592520137901163,-2.3326745406203098,6.915593353436945,0.9712652116070931,0.35058724372999184
ln_emp,2003,2.269013066473772,2.3346178773214845,-2.306837973076338,6.844864106023882,0.9718991225566296,0.35028443398424247
ln_emp,2004,2.7116556856809693,2.2159971396817193,-1.6316987080952003,7.055010079457139,1.2236729177684953,0.24455991388890713
ln_emp,2005,2.321253684830596,2.3042970527609117,-2.195168538580791,6.837675908241982,1.007358700584791,0.33364380138800465
ln_emp,2006,2.281135411468395,2.2865886296676154,-2.2005783026801313,6.7628491256169205,0.9976151293116448,0.338158057615604
ln_emp,2007,2.062133993801493,2.3284982040276887,-2.5017224860927767,6.625990473695762,0.8856068646454371,0.39323019524516445
ln_emp,2008,2.1823211199264656,2.292570485643229,-2.311117031934263,6.675759271787195,0.9519101522037475,0.35992308415322494
ln_emp,2009,0.570057309031306,3.343388218645954,-5.982983599514764,7.123098217577375,0.17050287664834052,0.8674556610155428
ln_emp,2010,2.1410004563919087,2.312984473177174,-2.392449111035352,6.674450023819169,0.9256441109831474,0.3728721110326292
ln_emp,2011,2.1621780973131792,2.2991452193609883,-2.344146532634358,6.668502727260716,0.9404269374137764,0.36554460926636756
ln_emp,2012,2.055809549372156,2.3439691299052163,-2.5383699452420676,6.6499890439863805,0.8770634063151197,0.3976712015862107
ln_emp,2013,2.0767808997308155,2.335643148585075,-2.5010796714959316,6.6546414709575625,0.8891687503670767,0.3913887302336977
ln_emp,2014,1.9841548982766524,2.3664246035954544,-2.654037324770438,6.622347121323743,0.8384610670722422,0.41816063446268925
ln_emp,2015,1.919941316713027,2.387326040514738,-2.759217722695859,6.599100356121913,0.8042225000398618,0.4369113875760062
ln_emp,2016,1.9029489027924356,2.3943255471081235,-2.7899291695394863,6.595826975124358,0.794774505534899,0.44218056892410995
ln_emp,2017,1.6819405405882648,2.456640919425323,-3.1330756614853685,6.496956742661898,0.6846505434671819,0.5065730665212852
ln_emp,2018,1.7305714756414607,2.4330047054203625,-3.03811774698245,6.499260698265371,0.7112898186287976,0.49050057629611077
ln_emp,2019,1.6741705050904858,2.448275458276126,-3.124449393130721,6.472790403311693,0.6838162345789712,0.5070814468702671
ln_emp,2020,1.6228296370215263,2.462491201452097,-3.203653117824584,6.449312391867637,0.65901946616685,0.522328570277979
ln_estab,1994,0.48298450685141037,0.3029194997610924,-0.11073771268033072,1.0767067263831516,1.5944318778828444,0.13682349800515234
ln_estab,1995,0.33778746430145223,0.2110285321263105,-0.07582845866611637,0.7514033872690209,1.6006720081778825,0.1354311603646902
ln_estab,1996,0.1987932737647285,0.15314969815158527,-0.10138013461237866,0.49896668214183565,1.2980324229432427,0.21867092969733146
ln_estab,1997,0.05614115811663858,0.03135848654132822,-0.005321475504364737,0.11760379173764189,1.7903019025694553,0.09864740510223449
ln_estab,1998,0,0,0,0,NA,NA
ln_estab,1999,-5.469141957980364e-4,0.05165166120531175,-0.10178417015820906,0.10069034176661298,-0.01058851125085969,0.991725747740067
ln_estab,2000,-0.004530915537005681,0.07893237908821471,-0.15923837854990652,0.15017654747589515,-0.057402495520145626,0.9551693409235831
ln_estab,2001,0.015558310237322416,0.08289260614053373,-0.1469111977981237,0.1780278182727685,0.1876923764581042,0.8542541158275605
ln_estab,2002,-0.18911975757799673,0.17819743210083316,-0.5383867244956297,0.16014720933963625,-1.0612933943457903,0.30944988352580366
ln_estab,2003,-0.22577317442719147,0.21795412717352675,-0.652963263687304,0.20141691483292096,-1.0358747382078224,0.320684920626809
ln_estab,2004,-0.18651409601837154,0.2263370391445483,-0.6301346927416862,0.2571065007049431,-0.8240546784711442,0.4259843757520403
ln_estab,2005,-0.20197948810860958,0.2499644225897405,-0.6919097563845009,0.2879507801672818,-0.808032943312548,0.434797883700188
ln_estab,2006,-0.23195181031806936,0.26845740383844185,-0.7581283218414153,0.29422470120527666,-0.8640171848553612,0.4045184104743127
ln_estab,2007,-0.3322910728576127,0.3331418428716493,-0.9852490848860452,0.3206669391708198,-0.9974462228860146,0.33823670176511245
ln_estab,2008,-0.2871731862411993,0.30146203533548693,-0.8780387754987538,0.3036924030163551,-0.9526014973050054,0.35958660605738335
ln_estab,2009,-0.3240464646931976,0.2886304936085335,-0.8897622321659233,0.24166930277952808,-1.1227034976169163,0.28352440686699526
ln_estab,2010,-0.3317556927892986,0.29237917240337236,-0.9048188706999084,0.24130748512131117,-1.1346762153482042,0.2786684433971882
ln_estab,2011,-0.3538387519081506,0.32194166926160395,-0.9848444236608943,0.2771669198445931,-1.099077210849111,0.29329613375454366
ln_estab,2012,-0.39436021150816164,0.3543919753408631,-1.0889684831762532,0.30024806015992994,-1.1127797437536675,0.2875981487978465
ln_estab,2013,-0.37624909245629934,0.3427168932453209,-1.0479742032171284,0.29547601830452963,-1.0978422711919709,0.29381383818942913
ln_estab,2014,-0.3957787966564059,0.3610649480984737,-1.1034660949294144,0.31190850161660255,-1.0961429480783182,0.2945273492307669
ln_estab,2015,-0.42768248786264057,0.4007345819623091,-1.2131222685087664,0.3577572927834853,-1.067246270008377,0.3068615932517371
ln_estab,2016,-0.4818801258150773,0.41503592377473414,-1.2953505364135562,0.33159028478340163,-1.1610564247846258,0.26819482445303755
ln_estab,2017,-0.5174422922209705,0.46329496356655037,-1.4255004208114093,0.3906158363694682,-1.116874416759426,0.2859118953187842
ln_estab,2018,-0.48544796034068655,0.4249348660731822,-1.3183202978441237,0.3474243771627506,-1.1424055757690703,0.275567600330512
ln_estab,2019,-0.519634367520019,0.4300903871573379,-1.362611526348401,0.3233427913083632,-1.2081980510062498,0.25024242626357174
ln_estab,2020,-0.5332168264382086,0.4587188679012204,-1.4323058075246005,0.36587215464818346,-1.1624043913385103,0.26766794346801037
ln_payann_real,1994,5.504258452419451,4.927779772548028,-4.154189901774684,15.162706806613587,1.1169854795628054,0.28586626306527385
ln_payann_real,1995,5.200648246381585,4.906509595608503,-4.416110561011081,14.81740705377425,1.0599486549534818,0.31003682015579187
ln_payann_real,1996,5.096601726016056,4.920993728038837,-4.548545980940066,14.741749432972178,1.0356854748618434,0.32076969069233635
ln_payann_real,1997,5.092107579910349,4.916541495045055,-4.544313750377959,14.728528910198655,1.0357092653529378,0.32075903414738827
ln_payann_real,1998,0,0,0,0,NA,NA
ln_payann_real,1999,5.046680134062305,4.900830369984584,-4.5589473911074805,14.65230765923209,1.0297602147119773,0.32343194462964164
ln_payann_real,2000,4.977756989280182,4.932540513833254,-4.690022417832995,14.645536396393357,1.0091669749736711,0.33281086417705386
ln_payann_real,2001,5.115929424881144,4.8906764445516675,-4.469796406440124,14.701655256202411,1.0460576329027886,0.31614839900480723
ln_payann_real,2002,4.990514484585284,4.889614004958751,-4.593128965133867,14.574157934304434,1.0206356738025142,0.32756337825744863
ln_payann_real,2003,5.022165613364529,4.868142972502599,-4.519394612740565,14.563725839469623,1.0316388901747375,0.3225860898863766
ln_payann_real,2004,5.405393936564347,4.7310840188850225,-3.867530740450296,14.678318613578991,1.1425275719026946,0.2755188720228624
ln_payann_real,2005,4.953816142898869,4.8567452330241485,-4.565404513828462,14.4730367996262,1.019986823524255,0.3278586329710039
ln_payann_real,2006,4.955462210019811,4.798727974747547,-4.450044620485381,14.360969040525003,1.0326616211831656,0.32212630066710235
ln_payann_real,2007,4.669881424498898,4.8574150889387395,-4.85065214982103,14.190414998818827,0.961392291783568,0.355327572838783
ln_payann_real,2008,4.684664737559802,4.846529746206018,-4.814533565003994,14.183863040123597,0.9666018745117725,0.3528206080004812
ln_payann_real,2009,4.753017111639572,4.844072459484457,-4.741364908949963,14.247399132229107,0.9812027279512296,0.3458617817734969
ln_payann_real,2010,4.841237415807895,4.830385911506079,-4.626318970744021,14.308793802359812,1.0022465087677503,0.3360068148435682
ln_payann_real,2011,4.802608208098233,4.825284426724577,-4.654949268281939,14.260165684478405,0.9953005425958409,0.3392369011461773
ln_payann_real,2012,4.727901668473777,4.840016617450481,-4.758530901729166,14.21433423867672,0.9768358338745204,0.3479326492384853
ln_payann_real,2013,4.804763202140383,4.809554567979021,-4.621963751098497,14.231490155379262,0.9990037817908258,0.33751199263139353
ln_payann_real,2014,4.720207250494093,4.845713577489271,-4.777391361384877,14.217805862373064,0.9740995159973516,0.3492347924411965
ln_payann_real,2015,4.64160343121756,4.862264762813061,-4.88843550389604,14.17164236633116,0.9546175820611139,0.3586066503009795
ln_payann_real,2016,4.5719471375162835,4.872594415576852,-4.978337917014348,14.122232192046916,0.9382983165807006,0.366593425779871
ln_payann_real,2017,4.357571890116084,4.944027474728007,-5.33272196035081,14.047865740582978,0.8813810021061449,0.3954226038761912
ln_payann_real,2018,4.321954933325021,4.939900063946183,-5.360249192009498,14.004159058659539,0.8749073619664435,0.3987973182188729
ln_payann_real,2019,4.2366342502891845,4.968376791807004,-5.501384261652544,13.974652762230914,0.8527199984662025,0.410511618218788
ln_payann_real,2020,4.228664675722956,4.940777308385412,-5.455258848712451,13.912588200158364,0.855870323996617,0.40883439295545365
