outcome,year,estimate,se,ci_lo,ci_hi,t_val,p_val,level
ln_hpi,1990,0.10183567268348506,0.03922478597337614,0.024955092175667826,0.1787162531913023,2.5962072234786984,0.02486156149322431,ZIP
ln_hpi,1991,0.024583764304017,0.05200252636432923,-0.07734118737006829,0.1265087159781023,0.47274173050331,0.6456385546546013,ZIP
ln_hpi,1992,0.0018523779774005673,0.0383496981123296,-0.07331303032276544,0.07701778627756657,0.04830228316204188,0.9623411832519466,ZIP
ln_hpi,1993,-0.02463447477877258,0.021260175189947845,-0.06630441815107035,0.017035468593525196,-1.1587145711960154,0.2711093055846575,ZIP
ln_hpi,1994,-0.0013993605423481127,0.017347616713651644,-0.035400689301105334,0.03260196821640911,-0.08066586698603335,0.9371566210799511,ZIP
ln_hpi,1995,-0.006210960037429319,0.019880233757284593,-0.04517621820170712,0.032754298126848484,-0.3124188635434669,0.7605649102270459,ZIP
ln_hpi,1996,0.010612054113316909,0.009448272937515776,-0.00790656084421401,0.029130669070847826,1.1231739581929483,0.2852794006868625,ZIP
ln_hpi,1997,0.021927802780601822,0.012102820952622419,-0.0017937262865381186,0.04564933184774177,1.8117927106779634,0.09737898097831636,ZIP
ln_hpi,1998,0,0,0,0,NA,NA,ZIP
ln_hpi,1999,0.004380259071920604,0.017681988453516585,-0.0302764382969719,0.03903695644081311,0.24772434861812503,0.8089109811872321,ZIP
ln_hpi,2000,-1.9345618084014703e-4,0.017594706863151933,-0.03467908163261794,0.03429216927093764,-0.010995135204286723,0.9914242082861191,ZIP
ln_hpi,2001,-0.01887314097230003,0.022956629943224036,-0.06386813566101915,0.026121853716419084,-0.8221215840032606,0.42846842656141526,ZIP
ln_hpi,2002,-0.018311356611962273,0.023644024209713236,-0.06465364406300021,0.028030930839075666,-0.7744602377982577,0.4549832914437719,ZIP
ln_hpi,2003,0.006538754086974309,0.025205233731407695,-0.04286350402658477,0.055941012200533394,0.25942049007173096,0.8001017899513846,ZIP
ln_hpi,2004,0.0074167338501937565,0.014973400059308783,-0.02193113026605146,0.036764597966438974,0.49532730180296375,0.6301150505843585,ZIP
ln_hpi,2005,0.015581184082702215,0.021332435500055855,-0.026230389497407258,0.05739275766281168,0.7303987433906184,0.4804137449236623,ZIP
ln_hpi,2006,0.009267548413881164,0.019933302846785173,-0.02980172516581777,0.0483368219935801,0.4649278890264704,0.6510509678174861,ZIP
ln_hpi,2007,0.011870511118779735,0.028708117187441987,-0.044397398568606555,0.06813842080616603,0.41348971237905996,0.6871943814951077,ZIP
ln_hpi,2008,0.01808238856243917,0.030536872575939737,-0.041769881686402714,0.07793465881128106,0.5921493275865597,0.5657230939796463,ZIP
ln_hpi,2009,0.028072397717418724,0.03138860029504986,-0.033449258860879,0.08959405429571646,0.8943500969632558,0.3902837280424921,ZIP
ln_hpi,2010,0.03540376505238974,0.027155128267634877,-0.017820286352174614,0.0886278164569541,1.303759816689435,0.21894008984117277,ZIP
ln_hpi,2011,0.03564069683371218,0.029238964690384478,-0.021667673959441393,0.09294906762686575,1.218945240062928,0.24836002380134237,ZIP
ln_hpi,2012,0.048458308620621414,0.030657557644974413,-0.011630504363528436,0.10854712160477126,1.5806317379155288,0.14226800742232856,ZIP
ln_hpi,2013,0.04543962114126668,0.033460645255988776,-0.020143243560471327,0.11102248584300468,1.3580019391028901,0.20166485814562146,ZIP
ln_hpi,2014,0.012675902068599294,0.03430050524585119,-0.05455308821326903,0.07990489235046762,0.36955438346298136,0.7187302637678643,ZIP
ln_hpi,2015,0.03391415221129069,0.03739486457283114,-0.039379782351458344,0.10720808677403973,0.9069200436663882,0.38388607109528194,ZIP
ln_hpi,2016,0.03506345289416603,0.04743898610409172,-0.057916959869853735,0.1280438656581858,0.7391273670400331,0.4753066073233603,ZIP
ln_hpi,2017,0.009533372280844216,0.05421292652933087,-0.09672396371664428,0.11579070827833272,0.17585053770683945,0.8636068272694817,ZIP
ln_hpi,2018,0.028467165752585222,0.05534929244609579,-0.08001744744176252,0.13695177894693297,0.5143185123876544,0.6172043495754025,ZIP
ln_hpi,2019,0.030994405044133075,0.05092669465472621,-0.0688219164791303,0.13081072656739645,0.6086082211749563,0.5551436513622978,ZIP
ln_hpi,2020,0.015923666470463105,0.05462307572227023,-0.09113756194518655,0.12298489488611275,0.2915190376943734,0.7760782981642177,ZIP
ln_hpi,2021,-0.008482617040518,0.06286610188193381,-0.13170017672910828,0.11473494264807227,-0.134931493866899,0.895103377704419,ZIP
ln_hpi,2022,0.005446951305506701,0.06405604440361463,-0.12010289572557799,0.1309967983365914,0.08503415026981175,0.9337621813889503,ZIP
ln_hpi,2023,0.04100598882572027,0.0528188744578881,-0.06251900511174041,0.14453098276318094,0.7763510534177303,0.4539116268646143,ZIP
ln_hpi,2024,-0.001188825506744621,0.04611048295507731,-0.09156537209869615,0.08918772108520691,-0.025782109198526998,0.9798929130753921,ZIP
ln_hpi,1992,0.03649745315595567,0.032443703936489626,-0.027092206559563993,0.10008711287147534,1.1249471770363053,0.2692463977547775,Tract
ln_hpi,1993,6.882958637062369e-5,0.024297249475826222,-0.047553779386248766,0.04769143855899002,0.0028328139133239547,0.997757896067069,Tract
ln_hpi,1994,-0.011535682775503384,0.030270672887990055,-0.0708662016359639,0.047794836084957125,-0.38108445154782755,0.7057398975474831,Tract
ln_hpi,1995,0.02128114681213322,0.02782149910134772,-0.03324899142650832,0.07581128505077475,0.7649173301054192,0.45010499935290027,Tract
ln_hpi,1996,0.04530329349667033,0.00798096265744448,0.029660606688079152,0.06094598030526151,5.676419680326701,3.0895658447554693e-6,Tract
ln_hpi,1997,0.011595380770086643,0.019543168168209335,-0.026709228839603652,0.04989999037977694,0.5933214446237395,0.5572705362266016,Tract
ln_hpi,1998,0,0,0,0,NA,NA,Tract
ln_hpi,1999,0.008234999834630644,0.029861824668010815,-0.05029417651467055,0.06676417618393184,0.275770148883511,0.7845546456844816,Tract
ln_hpi,2000,-0.015083903220719275,0.009934112498059916,-0.03455476371691671,0.0043869572754781615,-1.518394645084308,0.13904859334988012,Tract
ln_hpi,2001,-0.04853896701733011,0.023831742753259312,-0.09524918281371836,-0.0018287512209418585,-2.036735941633633,0.050293963934212545,Tract
ln_hpi,2002,-0.00786410229796014,0.009089006382108923,-0.025678554806893628,0.009950350210973347,-0.8652323441471094,0.39355794608399675,Tract
ln_hpi,2003,-0.02958907997639561,0.020471252456055997,-0.06971273479026537,0.01053457483747414,-1.445396662461768,0.15838060915923927,Tract
ln_hpi,2004,-0.009265566935094234,0.01912389562525168,-0.046748402360587527,0.02821726849039906,-0.4845020657224119,0.6314353786475855,Tract
ln_hpi,2005,-0.02369025556540303,0.015178468531368646,-0.05344005388688558,0.006059542756079516,-1.5607803591280283,0.12872761063416674,Tract
ln_hpi,2006,0.02491345408828608,0.016735136094550917,-0.007887412657033716,0.05771432083360588,1.4886914541673841,0.1466721679376243,Tract
ln_hpi,2007,0.026799985579781773,0.014862961816511372,-0.0023314195805805155,0.05593139074014406,1.8031389645373022,0.0810949354334715,Tract
ln_hpi,2008,0.02248728378016815,0.016191335494837065,-0.009247733789712498,0.054222301350048796,1.3888467561763929,0.17477746572906744,Tract
ln_hpi,2009,0.055877098846078964,0.01434386313073916,0.027763127109830213,0.08399107058232771,3.8955404368250925,4.879524920310637e-4,Tract
ln_hpi,2010,0.05186820703449004,0.022331326561922958,0.008098806973121042,0.09563760709585904,2.3226657355380884,0.026933184945225282,Tract
ln_hpi,2011,0.01522041357957309,0.02702562233088205,-0.03774980618895572,0.06819063334810191,0.5631845732625663,0.5773603511837981,Tract
ln_hpi,2012,-0.013492435630345762,0.021293017229533345,-0.05522674940023112,0.02824187813953959,-0.6336554131760997,0.5309535690066354,Tract
ln_hpi,2013,0.07104173489220442,0.016768736222940006,0.03817501189524201,0.10390845788916683,4.236558673695263,1.8850517352601466e-4,Tract
ln_hpi,2014,-0.011686746545974912,0.023410905034560985,-0.05757212041371444,0.034198627321764624,-0.4992009718856249,0.621162208774122,Tract
ln_hpi,2015,0.02500776490494024,0.043449555439338323,-0.060153363756162884,0.11016889356604335,0.5755585909240104,0.5690683753054635,Tract
ln_hpi,2016,0.0054413824277420465,0.023671829272542893,-0.040955402946442024,0.05183816780192611,0.2298674244855906,0.8197048439134803,Tract
ln_hpi,2017,-0.006837430307126178,0.08037212153223458,-0.16436678851030598,0.1506919278960536,-0.08507216403866996,0.9327510773744534,Tract
ln_hpi,2018,0.09073741719067152,0.01718713639252571,0.05705062986132113,0.12442420452002191,5.279379596366684,9.63909206233804e-6,Tract
ln_hpi,2019,0.08732832084712597,0.05088277798071806,-0.01240192399508143,0.18705856568933338,1.716264801426897,0.09609234753503622,Tract
ln_hpi,2020,0.04938793840751337,0.042531508012119655,-0.03397381729624115,0.13274969411126789,1.1612082598491436,0.2544209030855409,Tract
ln_hpi,2021,-0.018125450675298,0.08725565754179351,-0.18914653945721327,0.15289563810661727,-0.2077280853292099,0.8367999521477666,Tract
ln_hpi,2022,0.014534516556519644,0.06499989766185557,-0.11286528286071727,0.14193431597375655,0.22360829907966231,0.824529175330149,Tract
ln_hpi,2023,-0.004756348642803553,0.023349610023714617,-0.0505215842892842,0.041008887003677094,-0.20370141676768272,0.8399181564636078,Tract
ln_hpi,2024,0.02542710368052255,0.03786904480734932,-0.048796224141882116,0.09965043150292721,0.6714482451267919,0.5069080652838186,Tract
